#TWS,TWA,V,VMG,Heel,Reef,Flat,AWS,AWA,Lee,Sail
4.0,30.0,1.864,1.614,1.7,1.000,1.000,5.69,20.6,5.81,Up
4.0,33.0,2.228,1.869,2.0,1.000,1.000,5.99,21.3,4.58,Up
4.0,36.0,2.547,2.061,2.2,1.000,1.000,6.24,22.1,3.86,Up
4.0,39.0,2.833,2.201,2.3,1.000,1.000,6.45,22.9,3.37,Up
4.0,42.0,3.088,2.295,2.5,1.000,1.000,6.62,23.8,3.01,Up
4.0,45.0,3.317,2.346,2.6,1.000,1.000,6.76,24.7,2.74,Up
4.0,46.8,3.435,2.353,2.7,1.000,1.000,6.83,25.2,2.61,Up
4.0,50.0,3.642,2.341,2.8,1.000,1.000,6.93,26.2,2.40,Up
4.0,60.0,4.118,2.059,2.9,1.000,1.000,7.03,29.5,1.94,Up
4.0,70.0,4.405,1.507,2.7,1.000,1.000,6.89,33.0,1.62,Up
4.0,80.0,4.533,0.787,2.4,1.000,1.000,6.54,37.0,1.36,Up
4.0,90.0,4.520,-0.000,2.0,1.000,1.000,6.03,41.5,1.14,Up
4.0,100.0,4.345,-0.754,1.4,1.000,1.000,5.37,47.2,0.94,Up
4.0,110.0,4.253,-1.454,1.7,1.000,1.000,4.74,52.5,1.00,Dn
4.0,120.0,4.040,-2.020,1.3,1.000,1.000,4.02,59.5,0.84,Dn
4.0,130.0,3.666,-2.356,0.8,1.000,1.000,3.25,70.3,0.66,Dn
4.0,135.0,3.453,-2.442,0.6,1.000,1.000,2.90,77.5,0.56,Dn
4.0,140.0,3.234,-2.477,0.5,1.000,1.000,2.58,86.2,0.47,Dn
4.0,141.3,3.175,2.479,0.5,1.000,1.000,2.50,88.8,0.44,Dn
4.0,150.0,2.789,-2.415,0.2,1.000,1.000,2.11,108.7,0.29,Dn
4.0,160.0,2.374,-2.231,0.1,1.000,1.000,1.95,135.3,0.16,Dn
4.0,170.0,2.143,-2.110,0.0,1.000,1.000,1.93,158.9,0.08,Dn
4.0,180.0,1.999,-1.999,-0.0,1.000,1.000,2.00,180.0,-0.00,Dn
6.0,30.0,2.860,2.476,4.0,1.000,0.999,8.59,20.4,5.60,Up
6.0,33.0,3.368,2.825,4.5,1.000,1.000,9.01,21.2,4.51,Up
6.0,36.0,3.789,3.066,4.9,1.000,1.000,9.33,22.1,3.86,Up
6.0,39.0,4.149,3.225,5.3,1.000,1.000,9.58,23.1,3.43,Up
6.0,42.0,4.465,3.318,5.6,1.000,1.000,9.78,24.1,3.10,Up
6.0,45.0,4.742,3.353,5.8,1.000,1.000,9.93,25.2,2.84,Up
6.0,45.0,4.739,3.350,5.8,1.000,1.000,9.92,25.2,2.85,Up
