TWS,TWA,AWS,AWA,V,HEEL
4,46.8,6.83,25.2,3.435,2.7
4,141.3,2.5,88.8,3.175,0.5
6,45,9.92,25.2,4.739,5.8
6,143.9,3.55,95.4,4.516,0.8
8,43.1,12.61,25.3,5.565,9.9
8,147.3,4.48,105.4,5.542,1.1
10,41.8,14.95,25.5,6.05,15.6
10,150.9,5.45,116.9,6.275,1.2
12,40.8,17.06,25.9,6.266,18.4
12,158.7,6.34,136.6,6.571,0.9
14,40,19.06,26.3,6.369,20.3
14,166.8,7.48,154.7,6.868,0.7
16,39.6,21,26.8,6.419,21.8
16,169.3,8.96,160.6,7.273,0.7
20,40.4,24.8,28.8,6.487,22.7
20,171,12.16,165,8.005,1
25,42.5,29.41,31.9,6.531,23
25,168.8,16.26,162.7,9.008,2.2
30,45.6,33.84,35.5,6.549,23.4
30,158.5,20.14,147.3,10.975,7.3
